how_old_are_you,industry,job_title,annual_salary,currency,country,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,race
35-44,Education (Primary/Secondary),Tutor,57000,USD,Us,Maryland,Olney,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Computing or Tech,Software Engineer,100000,AUD/NZD,Australia,NA,Melbourne,11 - 20 years,2 - 4 years,Master's degree,Man,White
25-34,Utilities & Telecommunications,Electrical Engineer,132000,USD,usa,California,LA,2 - 4 years,5-7 years,College degree,Man,Another option not listed here or prefer not to answer
35-44,Nonprofits,communications manager,101000,USD,United States,California,San Francisco,11 - 20 years,11 - 20 years,College degree,Woman,White
55-64,Education (Higher Education),Director of Donor Relations,85000,USD,USA,Connecticut,Hartford,31 - 40 years,11 - 20 years,Some college,Woman,White
25-34,Nonprofits,Business Analyst,89500,USD,USA,Washington,Seattle,5-7 years,2 - 4 years,Master's degree,Woman,White
25-34,Media & Digital,Digital Editor,74000,AUD/NZD,Australia,NA,Sydney,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Computing or Tech,Staff software engineer,190000,USD,Usa,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,"Accounting, Banking & Finance",Business development manager,75000,GBP,United Kingdom,NA,London,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Computing or Tech,Graduate intern,65000,USD,United States,Oregon,Portland,2 - 4 years,1 year or less,College degree,Woman,White
35-44,Computing or Tech,Software Engineer,124000,USD,USA,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Man,White
35-44,Health care,Clinical Psychologist,170000,USD,US,NA,WA,5-7 years,8 - 10 years,PhD,Woman,White
45-54,Library,Customer service specialist 2,20200,USD,United States,Washington,Sequim,21 - 30 years,5-7 years,High School,Woman,White
35-44,Computing or Tech,Engineering Manager,225000,USD,US,Washington,Seattle,11 - 20 years,11 - 20 years,Master's degree,Man,White
25-34,Nonprofits,Researcher,61000,USD,United States,Wisconsin,Madison,8 - 10 years,5-7 years,Master's degree,Woman,White
55-64,Business or Consulting,Administrative Assistant,46000,USD,Us,California,Los Angeles,31 - 40 years,5-7 years,Master's degree,Woman,White
35-44,Health care,Proposal manager,12000,USD,United States,Arizona,Philadelphia,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Summer camp,Staff Director,52000,USD,USA,Maryland,North East,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Education (Higher Education),Training Coordinator,53000,USD,USA,Colorado,Fort Collins,5-7 years,5-7 years,Master's degree,Woman,White
35-44,Computing or Tech,Team Lead,88000,USD,US,Colorado,Broomfield,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Nonprofits,State Program Director,54000,USD,United States,District of Columbia,Washington,5-7 years,5-7 years,College degree,Non-binary,White
55-64,Education (Higher Education),Executive assistant to the president,101000,USD,USA,Oregon,Portland,31 - 40 years,21 - 30 years,Some college,Woman,White
25-34,Environmental Consulting,Engineer,89000,USD,USA,"Colorado, Massachusetts",Denver/Boston,8 - 10 years,8 - 10 years,Master's degree,Other or prefer not to answer,Another option not listed here or prefer not to answer
25-34,Computing or Tech,GIS Programmer Analyst,96000,USD,USA,California,Walnut Creek,8 - 10 years,5-7 years,Master's degree,Man,White
25-34,Energy,Director of Corporate Development,132999,USD,United States,Maine,"Portland, ME",8 - 10 years,2 - 4 years,Master's degree,Man,White
35-44,Computing or Tech,Helpdesk Professional,525000,Other,Czech Republic,NA,Prague,11 - 20 years,2 - 4 years,Master's degree,Man,White
25-34,Government and Public Administration,Geologist II,52000,USD,U. S.,Iowa,Des Moines,2 - 4 years,2 - 4 years,Master's degree,Woman,White
35-44,Computing or Tech,Front end developer,92000,USD,USA,Maryland,Baltimore,11 - 20 years,8 - 10 years,Master's degree,Man,White
25-34,Insurance,Communications Coordinator,54080,USD,United States,California,Anaheim-Santa Ana-Irvine metro region,8 - 10 years,5-7 years,Some college,Woman,White
25-34,"Accounting, Banking & Finance",Assistant Team Manager,65000,USD,US,Missouri,St. Louis,5-7 years,5-7 years,College degree,Woman,White
25-34,"Marketing, Advertising & PR",Digital Strategic Planner,720000,Other,Thailand,NA,Bangkok,2 - 4 years,2 - 4 years,Master's degree,Woman,Asian or Asian American
25-34,Computing or Tech,Software Developer,65000,CAD,Canada,NA,Calgary,5-7 years,1 year or less,Master's degree,Woman,White
45-54,Computing or Tech,Sr QA Analyst,91000,USD,United States,North Carolina,Cary,21 - 30 years,21 - 30 years,College degree,Woman,White
25-34,"Marketing, Advertising & PR",Digital Marketing Strategist,65000,USD,USA,Oregon,Portland,5-7 years,5-7 years,College degree,Woman,White
25-34,Government and Public Administration,Program analyst,62000,USD,United states,Pennsylvania,Harrisburg,5-7 years,2 - 4 years,Master's degree,Woman,White
55-64,Government and Public Administration,Informationmanager,90000,EUR,Netherlands,NA,The Hague,31 - 40 years,21 - 30 years,Master's degree,Man,White
35-44,Health care,Personal Assistant to Director of Clinical Services,80000,AUD/NZD,Australia,NA,"Perth, Western Australia",11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Nonprofits,Policy Officer,28335,GBP,United Kingdom,NA,London,5-7 years,2 - 4 years,College degree,Woman,White
25-34,"Marketing, Advertising & PR",Social Media Associate,65000,USD,US,California,San Mateo,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Engineering or Manufacturing,Senior Engineer,110000,USD,USA,Arizona,Phoenix,8 - 10 years,8 - 10 years,Master's degree,Woman,White
35-44,Engineering or Manufacturing,Product Manager,150000,USD,USA,Ohio,Cleveland,11 - 20 years,2 - 4 years,PhD,Man,White
45-54,Food distribution,Office and accounting manager,50960,CAD,Canada,NA,Port Coquitlam,31 - 40 years,11 - 20 years,College degree,Woman,White
45-54,Sales,Sales Coordinator,68500,AUD/NZD,Australia,NA,Melbourne,21 - 30 years,11 - 20 years,Some college,Woman,White
35-44,Computing or Tech,Engineering manager,179000,USD,USA,Arizona,Gilbert,11 - 20 years,11 - 20 years,College degree,Man,White
35-44,Health care,Coder II,36000,USD,United States,Kentucky,Somerset,11 - 20 years,11 - 20 years,Some college,Woman,White
25-34,Social Work,Substance abuse counselor,59000,USD,US,New York,Middletown,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Computing or Tech,Principal Engineer,135000,USD,United States,Nevada,Reno,11 - 20 years,11 - 20 years,Master's degree,Man,White
25-34,Education (Primary/Secondary),Elementary School Teacher,73000,USD,United States,New York,New York City,5-7 years,5-7 years,Master's degree,Woman,White
25-34,"Marketing, Advertising & PR",Executive Director,110000,USD,USA,California,Los Angeles,5-7 years,5-7 years,College degree,Woman,White
35-44,Government and Public Administration,Program manager,55744,USD,USA,Utah,Provo,8 - 10 years,5-7 years,Master's degree,Woman,White
35-44,Law,Paralegal,65000,USD,U.S.,California,Orange County Area,11 - 20 years,1 year or less,College degree,Woman,White
35-44,"Accounting, Banking & Finance",Team Leader,110000,AUD/NZD,Australia,NA,Perth,11 - 20 years,11 - 20 years,Some college,Woman,White
55-64,Publishing,VP Marketing,165000,USD,USA,New York,New York,31 - 40 years,31 - 40 years,College degree,Man,White
35-44,Government and Public Administration,Management Analyst 4,78408,USD,USA,Washington,Olympia,11 - 20 years,5-7 years,College degree,Woman,White
35-44,Education (Primary/Secondary),Vice principal,115000,USD,US,California,San Francisco,11 - 20 years,11 - 20 years,Master's degree,Woman,Asian or Asian American
25-34,Recruitment or HR,HR,5600000,JPY,Japan,NA,Tokyo,8 - 10 years,2 - 4 years,College degree,Woman,White
35-44,Law,Paralegal,65000,USD,U.S.,California,Orange County Area,11 - 20 years,1 year or less,College degree,Woman,White
25-34,Computing or Tech,Senior Site Reliability Engineer,110000,CAD,Canada,NA,Vancouver,11 - 20 years,5-7 years,Some college,Man,White
25-34,Computing or Tech,Software Engineer,85000,USD,United States,Illinois,Chicago,8 - 10 years,1 year or less,College degree,Woman,White
25-34,Computing or Tech,Embedded software engineer,97000,USD,USA,California,Sacramento,5-7 years,2 - 4 years,College degree,Man,White
25-34,Health care,Speech Pathologist,79000,AUD/NZD,Australia,NA,Geelong,2 - 4 years,2 - 4 years,Master's degree,Woman,White
25-34,Counselling,Lead Counsellor,90000,AUD/NZD,New Zealand,NA,Wellington,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Retail,Cashier,31200,USD,USA,North Carolina,"Cary, NC",11 - 20 years,5-7 years,College degree,Woman,White
35-44,Education (Higher Education),Job Coach,41600,USD,US,Utah,Ogden,1 year or less,1 year or less,Master's degree,Woman,White
25-34,Nonprofits,Database Administrator,71000,USD,United States,Washington,Seattle,5-7 years,2 - 4 years,College degree,Woman,White
35-44,Property or Construction,Property manager,38000,USD,USA,Oregon,Salem,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Health care,Paramedic,68000,USD,United States,Indiana,Princeton,11 - 20 years,11 - 20 years,Some college,Woman,White
25-34,Business or Consulting,Life Coach,71000,USD,United States,Utah,Salt Lake City,11 - 20 years,5-7 years,Some college,Woman,White
25-34,Education (Higher Education),Research Scientist,80000,USD,United States of America,Washington,Seattle,5-7 years,5-7 years,Master's degree,Woman,White
45-54,Computing or Tech,Senior engineering manager,268000,USD,United States,California,San Francisco,21 - 30 years,21 - 30 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,Computing or Tech,Web developer,80800,AUD/NZD,Australia,NA,Melbourne,11 - 20 years,11 - 20 years,College degree,Man,White
35-44,Nonprofits,Executive Director,41600,USD,United States,New Hampshire,n/a,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Law,Associate attorney (senior),270000,USD,USA,California,Los Angeles,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Computing or Tech,Customer Success Specialist,75000,USD,USA,Oregon,Portland,5-7 years,2 - 4 years,Master's degree,Woman,White
25-34,Health care,Registered Psychologist,90000,AUD/NZD,Australia,NA,Wollongong,2 - 4 years,2 - 4 years,Master's degree,Woman,White
35-44,Nonprofits,Development and Communications Manager,70000,USD,United States,Washington,Seattle,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Social Work,Program Manager II,85000,USD,United States,California,Los Angeles,11 - 20 years,11 - 20 years,Master's degree,Man,White
25-34,Computing or Tech,Content editor,53000,USD,USA,North Carolina,Durham,8 - 10 years,5-7 years,Master's degree,Man,White
35-44,Education (Higher Education),Library Technician,45000,USD,United States,Arizona,Glendale,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Health care,Registered Nurse,93662,CAD,Canada,NA,Vancouver,8 - 10 years,8 - 10 years,Master's degree,Woman,White
55-64,Computing or Tech,Senior Software Engineer,195000,USD,US,New York,New York,31 - 40 years,31 - 40 years,Master's degree,Man,White
55-64,"Marketing, Advertising & PR",Creative Director,135000,USD,United States,Texas,Dallas,21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,Nonprofits,Education Director,54000,USD,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Nonprofits,Program Director,132500,USD,United States,New Mexico,Santa Fe,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Media & Digital,Engineering Manager,180000,USD,United States,Oregon,Portland,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Administration (food service),Admin,29120,USD,USA,Louisiana,Lake Charles,11 - 20 years,5-7 years,College degree,Woman,White
45-54,Government and Public Administration,Public Affairs Officer,106000,USD,United States,District of Columbia,Washington,21 - 30 years,11 - 20 years,College degree,Woman,White
35-44,Commercial Real Estate,Marketing Director,127500,USD,United States,Arizona,Phoenix,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Engineering or Manufacturing,technical editor,64400,USD,usa,Oregon,tualatin,11 - 20 years,8 - 10 years,College degree,Man,White
18-24,Hospitality & Events,Hotel receptionist,22880,USD,USA,Michigan,Marquette,2 - 4 years,2 - 4 years,Some college,Woman,White
35-44,Computing or Tech,Software Engineer,74000,USD,USA,New Hampshire,Portsmouth,5-7 years,5-7 years,College degree,Non-binary,White
25-34,CBD Manufacturing,HR Generalist,60000,USD,United States,Oregon,Portland,5-7 years,2 - 4 years,College degree,Woman,White
45-54,Computing or Tech,Senior Support Analyst,78000,USD,USA,Oregon,Portland,21 - 30 years,5-7 years,College degree,Woman,White
35-44,Computing or Tech,Technical Support Engineer,114100,USD,United States,California,Sacramento,21 - 30 years,5-7 years,College degree,Man,Black or African American
35-44,Transport or Logistics,Sr DBA,120000,USD,USA,Florida,Orlando,11 - 20 years,8 - 10 years,College degree,Man,White
45-54,Government and Public Administration,Director,151000,AUD/NZD,Australia,NA,Canberra,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Another option not listed here or prefer not to answer
25-34,Computing or Tech,Software Engineer,112000,CHF,Switzerland,NA,Zürich,8 - 10 years,5-7 years,Master's degree,Woman,White
25-34,Computing or Tech,Software Engineer II,93000,USD,United States,Massachusetts,Woburn,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Nonprofits,Community Engagement Manager,95000,USD,USA,Washington,Seattle,8 - 10 years,8 - 10 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Computing or Tech,Software Developer (junior),65000,AUD/NZD,Australia,NA,Melbourne,2 - 4 years,2 - 4 years,College degree,Man,White
25-34,Media & Digital,Director of Digital Engagement,75000,USD,US,Minnesota,St. Paul,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Computing or Tech,Head of Vendor Management,154000,USD,United States of America,Washington,Seattle,11 - 20 years,8 - 10 years,Master's degree,Woman,Black or African American
45-54,Retail,Owner,36000,USD,United States,Missouri,Kansas City,21 - 30 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Education (Primary/Secondary),"Manager, Budget & Accounting",124896,USD,U.S.,California,San Diego,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Agriculture or Forestry,Consulting arborist,74000,USD,United States,California,Bay area,8 - 10 years,8 - 10 years,Master's degree,Woman,Another option not listed here or prefer not to answer
18-24,Computing or Tech,Pharmaceutical development intern,32400,CAD,Canada,NA,Vancouver,2 - 4 years,1 year or less,Some college,Woman,White
25-34,Computing or Tech,Software Engineer,120000,USD,United States,Washington,Eastern WA,11 - 20 years,11 - 20 years,College degree,Woman,"Asian or Asian American, White"
25-34,Government and Public Administration,Diplomat,70000,USD,Bangladesh,NA,Dhaka,5-7 years,2 - 4 years,Master's degree,Woman,Black or African American
25-34,"Accounting, Banking & Finance",Audit Senior Manager,142000,USD,USA,Alaska,Anchorage,11 - 20 years,11 - 20 years,College degree,Woman,Another option not listed here or prefer not to answer
25-34,Computing or Tech,Mathematician,73000,USD,USA,Illinois,Chicago,5-7 years,2 - 4 years,Master's degree,Man,White
35-44,Publishing,Manager,68000,USD,USA,Michigan,Ann Arbor,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Computing or Tech,Performance Analyst,82500,USD,United States,California,Los Angeles,1 year or less,1 year or less,Master's degree,Woman,Middle Eastern or Northern African
